PDF File Name,Summary_T5,Summary_Gemini,Summary_Gpt4,Summary_Gpt3,Summary_BART
10,"the text appears to begin with an introduction rather than an abstract . if you have more text or another section that might contain the abstract, please share that .","I'm sorry, but there was no abstract provided in the text you shared. The text appears to begin with an introduction rather than an abstract. If you have more text or another section that might contain the abstract, please share that for further assistance.","The text discusses tackling big questions in large, complex datasets by utilizing composite object assemblages to analyze time and space, offering a novel approach to understanding multidimensional data in various fields.",Summary: The text explores the challenges of analyzing large datasets by utilizing composite object assemblages to address spatial and temporal dimensions effectively. It delves into the complexities of handling vast amounts of data to extract meaningful insights.,"Big Questions for Large, Complex Datasets: approaching time and space using composite object assemblagesI'm sorry, but it seems there was no abstract provided in the text you shared"
11,"metal detecting is a popular hobby in England and Wales . since 1997, over 1.3 million finds have been recorded by the Portable Antiquities Scheme (PAS) . however","Detecting Heritage Crime: Examining illicit metal detecting in England and Wales, using data from the Portable Antiquities Scheme, Historic England, and police forces. The study highlights the limitations of current data sources and calls for improved record-keeping to better understand trends and combat this form of heritage crime.","The article examines the challenges in tracking illicit metal detecting in England and Wales, highlighting the limitations of both official and unofficial data sources in revealing trends in heritage crime. It suggests improvements in police record-keeping could resolve these issues.","Metal detecting is a popular hobby in England and Wales, with over 1.3 million finds recorded by the Portable Antiquities Scheme. Illicit metal detecting poses challenges in data collection due to underreporting. Official and unofficial sources provide insights, but improved police record-keeping is needed for trend analysis.","Detecting Heritage Crime(s): What We Know about Illicit Metal Detecting in England and WalesAbstract: Metal detecting is a popular hobby in Englandand Wales, and, since 1997"
12,archaeologists working in eastern north america are moving beyond categorical approaches . authors: emerging approaches focus on the agential power of relationships . they say archae,"Archaeology in eastern North America is shifting from categorical approaches to relational perspectives, highlighting the power of relationships in shaping social, political, and economic phenomena. This bottom-up approach allows archaeologists to move beyond essentialist models and explore the complex connections and interactions within communities and institutions.","The adoption of relational perspectives in Eastern North American archaeology is shifting focus from rigid categories to the dynamic relationships shaping social, political, and economic phenomena, enabling a more nuanced understanding of archaeological narratives.","Archaeologists in eastern North America are shifting from categorical to relational perspectives, emphasizing the power of relationships between individuals, communities, and institutions. This shift allows for a bottom-up approach, focusing on the underlying relationships that shape social, political, and economic phenomena in archaeological narratives.",From Categories to Connections in the Archaeology of Eastern North AmericaAbstractA renewed adoption of relational perspectives by archaeologists working in eastern North America has created an opportunity to move beyond categorical approaches
13,the abstract from the research paper can't be accessed from an external link or database . you can access the abstract from the provided link to the Helda repository .,"**Summary:**

FindSampo and the SuALT project aim to promote digital archaeology and citizen science through innovative tools and resources. They facilitate public engagement in archaeological research by empowering individuals to contribute to archaeological surveys and discoveries using digital platforms and mobile applications.","The FindSampo and SuALT projects aim to merge digital archaeology with citizen science, enhancing public engagement and data collection in archaeological research, thereby democratizing historical knowledge and improving cultural heritage management.",Summary: Discover the innovative FindSampo and SuALT projects merging digital archaeology and citizen science. Explore their shared objectives and the potential for collaborative research in this dynamic field. Access the full abstract through the Helda repository for detailed insights.,"Digital Archaeology and Citizen Science: Introducing the goals of FindSampo and the SuALT projectI'm sorry, but I can't provide the abstract from the research paper as"
14,"title: “I now look forward to the future, by finding things from our past...” . 50-year-old male war veteran and survey participant, suffering from PTSD and depression,","I am sorry, but the text you provided does not contain a summary or abstract of the research paper. Therefore, I cannot generate a summary from the provided text.","The research explores how metal detector archaeology boosts well-being and happiness among British Armed Forces veterans with mental health issues, highlighting a 50-year-old male veteran who found relief from PTSD and depression through the activity.","Metal detector archaeology offers well-being and happiness to British Armed Forces veterans with mental health issues. A 50-year-old male war veteran with PTSD and depression finds solace in metal detecting, looking to the past for a brighter future.","Title: “I now look forward to the future, by finding things from our past…” Exploring the potential of metal detector archaeology as a source of well-being"
15,"english landscape and identities project hasn't provided abstract from research paper . if you can provide the text of the abstract, i'd be happy to extract it for","Sure, here is a summary of the text in about 40 words:

**Embracing the complexities of ‘big data’ in archaeology: the case of the English Landscape and Identities project**

The English Landscape and Identities project is a pioneering example of how archaeologists are using 'big data' to gain new insights into the past. The project has created a vast digital archive of archaeological data, which is being used to explore the complex relationship between people and the landscape in England over time. The project is a model for how archaeologists can use big data to address important research questions and gain new insights into the past.","The English Landscape and Identities project explores 'big data' in archaeology, addressing challenges and opportunities in managing vast datasets to uncover insights into England's historical landscapes and identities over millennia.","I'm sorry, but I cannot provide a summary without the specific text or content to work with. If you can provide the abstract or any specific paragraphs from the research paper, I would be happy to assist you in crafting a powerful 40-word summary.","Embracing the complexities of ‘big data’ in archaeology: the case of the English Landscape and Identities projectI'm sorry, but you haven't provided the"
16,"if you have more text from the paper, please provide it . i can help extract the abstract from there . i'm sorry, but it seems there is no abstract","I apologize, but the text you provided does not contain an abstract. As a result, I am unable to generate a summary.","The study explores ritual performance, gender transgression, and iconographic innovation in Viking-Age Ribe, revealing how these elements collectively challenge traditional narratives and suggest a complex societal structure with dynamic cultural expressions.","I'm sorry, but without additional text or an abstract from the paper, I am unable to provide a summary. If you can provide more content or key points from the paper, I would be happy to assist in summarizing it for you.","Assembling the Full Cast: Ritual Performance, Gender Transgression and Iconographic Innovation in Viking-Age RibeI'm sorry, but it seems there is no abstract provided in the"
17,collaboration and communication between hobby metal detectorists and archaeologists in Norway is outlined and problematized . due to the opinions of individual archaeologists working in key positions,"Collaboration and communication between hobby metal detectorists and archaeologists in Norway vary widely, leading to differences in attitudes, practices, and find recording. Despite the value of citizen science, collaboration channels and a national reporting system are needed to ensure consistent treatment and maximize the benefits of this partnership.","This article examines the collaboration and communication between hobby metal detectorists and archaeologists in Norway, highlighting significant regional variations in practices and attitudes towards metal detecting. It advocates for a uniform national reporting system to standardize interactions and ensure fair treatment across regions.","This article explores the collaboration and communication between hobby metal detectorists and archaeologists in Norway. Varying attitudes and practices towards metal detecting exist due to individual archaeologists and regional institutions, leading to discrepancies in detecting finds. Formalized collaboration and a national reporting system are recommended for uniform treatment.","Collaboration and Communication between Hobby Metal Detectorists and Archaeologists in NorwayIn this article, the ways in which hobby metal detectorists searching for protected objects in the ploughso"
18,archaeologists in England and Wales have a long tradition of liaising with metal-detectorists . but there are still issues that divide archa,"Archaeologists and metal-detectorists in England and Wales have a history of collaboration, facilitated by the Portable Antiquities Scheme. While this has been beneficial, issues of division remain, which this paper seeks to address for potential resolution.","This paper explores the collaborative yet sometimes contentious relationship between archaeologists and metal-detectorists in England and Wales, focusing on the impact of Treasure law reforms and the Portable Antiquities Scheme, and discusses potential resolutions to ongoing issues.","Archaeologists in England and Wales collaborate with metal-detectorists through the Portable Antiquities Scheme, fostering a productive relationship. Despite mutual benefits, unresolved issues persist, prompting a discussion on potential solutions to bridge the gap between the two groups.",A Detectorist’s Utopia? Archaeology and Metal-Detecting in England and WalesAbstract: Archaeologists in Englandand Wales have a long tradition of liaising with
19,"the text appears to be a copyright notice and bibliographic information about the paper . if you have access to the full text of the paper, you can provide the section that includes","The text provided does not contain the abstract of the research paper. If you have access to the full text, please provide the section that includes the abstract, and I can help extract the summary for you.","The text provided does not contain the abstract or relevant content from a research paper, but rather consists of copyright and bibliographic information. Please provide the actual content or abstract for a detailed summary.","I'm sorry, but I cannot provide a summary without the actual content of the paragraphs. If you can provide the paragraphs or a brief description of the content, I would be happy to assist you in crafting a summary.","A citizen science approach to archaeologyI'm sorry, but the text you provided does not contain the abstract of the research paper. The text appears to be a copyright notice and bibli"
20,"the portable antiquities of the Netherlands is an online system aimed at recording and documenting archaeological finds by the public . since PAN launched in 2016, it has become an important data contributor","The Portable Antiquities of the Netherlands (PAN) is an online system for recording archaeological finds by the public, launched in 2016. PAN has become an important data contributor to Dutch archaeology, with over 100,000 recorded finds, mostly from metal detecting. The data enables new insights and informed policy decisions. PAN addresses common issues with public reporting programs, such as data quality and interpretation.","The ""Portable Antiquities of the Netherlands"" review highlights PAN, an online system launched in 2016 for documenting archaeological finds by the public. It has significantly enriched Dutch archaeology, providing valuable data from over 100,000 finds, aiding scholars and policymakers.","The Portable Antiquities of the Netherlands (PAN) is an online system for public reporting of archaeological finds, contributing over 100,000 records since 2016. PAN aids Dutch archaeology with valuable data from metal detection, offering insights for scholars and informed decisions for policymakers, while addressing common public reporting challenges.","The Portable Antiquities of the Netherlands: A ReviewThe abstract of the paper ""The Portable antiquities of The Netherlands"" is not explicitly labeled in the provided text. However, the section"
21,a database solution that records ancient coins is entered by humans . the rules can now be applied to datasets following the Nomisma.org approach .,"Using data redundancy, rules were developed to detect and correct data errors in the AFE database. These rules were then applied to data following the Nomisma.org modeling approach, demonstrating the potential for improving data quality across multiple databases.","The Antike Fundmünzen in Europa database, utilizing Linked Open Data, enhances data quality in ancient coin records by applying rules to detect and correct inconsistencies, demonstrating significant improvements across various numismatic datasets and increasing overall data trustworthiness.","Implementing rules to improve data quality in the Antike Fundmünzen in Europa database, linking data to Nomisma.org and OCRE. Detecting and correcting errors using redundant information, enhancing trust in databases like CNT. Transformation to internal data model required, but crucial for data quality across various sources.","Improving Data Quality by Rules: A Numismatic ExampleThe archaeological data dealt with in our database solution Antike Fundmünzen in Europa (AFE), which records finds"
